Unemrate,MWR
 2.2 ,147.4
 1.6 ,147.4
 1.0 ,147.4
 1.0 ,147.4
 2.2 ,148.6
 1.4 ,148.6
 1.0 ,148.6
 1.1 ,154.3
 2.4 ,154.3
 2.0 ,154.3
 1.0 ,154.3
 0.8 ,154.3
 1.4 ,155.1
 1.3 ,155.1
 0.8 ,155.1
 0.6 ,155.1
 0.8 ,165.75
 0.6 ,165.75
 0.6 ,165.75
 0.7 ,165.75
 0.8 ,165.75
 0.9 ,233.1
 0.5 ,233.1
 0.4 ,233.1
 0.8 ,300
 0.7 ,300
 0.6 ,300
 0.6 ,300
 1.0 ,300
 0.9 ,300
 0.7 ,300
 0.4 ,300
 0.8 ,300
 0.9 ,300
 0.8 ,300
 0.5 ,300
 0.9 ,300
 1.0 ,300
 0.8 ,300
 0.8 ,300
